address,token_address,total_pnl,realized_pnl,roi,unrealized_pnl,unrealized_roi,win_rate,wins,losses,total_volume,total_trades,avg_trade_size,is_bot,avg_profit_per_trade,loss_rate,win_loss_ratio,profit_factor,volume_per_trade,persona,persona_confidence,validation_passed,quality_score,prob_Elite Sniper,prob_Whale,prob_Consistent Performer,prob_Scalper,prob_Momentum Trader,prob_Risk-Taker,prob_Developing Trader,profitability_score,risk_adjusted_score,consistency_score,copy_trading_score,risk_category,qual_category
FzZ57wFy61Xz917Nk2dJgtfabdXxcNxYbuUf3RExLQh1,7plwmfkbjwc1zmfhulxeynvcwfwxtw7karcjyrq7yl9k,17493.0,11925.0,21.65,-10961.0,-19.9,10.0,3.0,27.0,102000.0,98,1000.0,0,121.68367346938776,0.2755102040816326,0.1111111111111111,0.1111111111111111,1040.8163265306123,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
G4ZWrLSqLp5kk8b2KVDafRH3ymv1FvjkpHKiyDbaRp5M,edpqmvu9okrtnkn8k3tvqwpew6uadexbemdpn7y3hvs2,7389.0,3734.3,8.53,780.28,1.78,44.0,44.0,56.0,88000.0,483,182.0,0,7.731469979296067,0.11594202898550725,0.7857142857142857,0.7857142857142857,182.19461697722568,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
G5BgTp5n4B2e6Z8yuzuPuJPTSJbs7P5yvxxrUcX7LQGc,7rqd8fhc1rimv3v9edcrz6rnfsjn1puxm9umjaurjrnj,83746.0,0.0,0.0,-860.49,-24.74,66.67,2.0,1.0,87000.0,39,2200.0,0,0.0,0.02564102564102564,2.0,2.0,2230.769230769231,Developing Trader,0.41317983333333336,True,0.41317983333333336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.38917066666666666,0.51,0.634,0.4767862500000001,High Risk,Medium
G5nxEXuFMfV74DSnsrSatqCW32F34XUnBeq3PfDS7w5E,hnxndek9suxvn12urquccxc267bwm1n472dhcvjmj35,-32457.0,-132270.0,-12.03,-34998.0,-3.18,31.48,17.0,37.0,1700000.0,241,7200.0,0,-548.838174273859,0.15352697095435686,0.4594594594594595,0.4594594594594595,7053.941908713693,Risk-Taker,0.2933030112612613,True,0.2933030112612613,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.22528200000000004,0.12823376696198274,0.8,0.317913231214721,High Risk,Low
G6daHdemg7W5mXX7fDNVx1EYsiwT1Xtr7d2foL2kScfk,6bgnw8p1snpvwobmhbaffewh726gzxlyudizi31xurv3,16937.0,4895.3,4.29,-814.83,-0.71,37.84,14.0,23.0,241000.0,386,626.0,0,12.682124352331607,0.05958549222797927,0.6086956521739131,0.6086956521739131,624.3523316062176,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
G7rs4zQzsrcVrDrPqnRX9i7jUYvnZ5ogMEoZoNq2XnYi,dmu6p74f6qkrdnd83ryxy5r6szbhgpxfzwbc5dthepff,42795.0,7144.3,8.05,-2744.1,-3.09,39.68,25.0,38.0,202000.0,496,406.0,0,14.40383064516129,0.07661290322580645,0.6578947368421053,0.6578947368421053,407.258064516129,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
G8knMwU5kQ8XYEbEC9QJ6amC5FYw63vBfz2u3NHrVqVd,hgrvezf83hm2x5hovx9ec2cbiajtmwfhk6vcuplh4ydy,33642.0,-3755.3,-6.47,-3472.5,-5.98,38.24,13.0,21.0,125000.0,205,612.0,0,-18.318536585365855,0.1024390243902439,0.6190476190476191,0.6190476190476191,609.7560975609756,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
G9J6vKowvpnZUEEQr2DAjqdKUvZW8ceoTzv6QrMZYP22,6sekz73vph5afymqtzav6h5vaqqlz2c8wqecq6mhlqfk,-2368.3,-2368.3,-2.83,-46447.0,-55.54,0.0,0.0,5.0,111000.0,53,2100.0,0,-44.68490566037736,0.09433962264150944,0.0,0.0,2094.3396226415093,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
Gab3LmSQEwvCuW8gbALvRex88TbawKNzYJyer9zuJZ3D,5jn7rnf7cdzcwsgqjmnszuux7gsrpwfjkkjhejhkgijc,357374.0,-51561.0,-20.77,0.0,0.0,15.79,3.0,16.0,854000.0,299,2900.0,0,-172.44481605351172,0.05351170568561873,0.1875,0.1875,2856.1872909698995,Whale,0.3556619999999999,True,0.3556619999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.44213600000000003,0.08450275919732442,0.8,0.3977714277591974,Medium-High Risk,Low
GaR7iuujyg6k4gg5FyfDaznrSNicatMtQxnUMThRwfKi,dmafl613xtipua3jfnyczavwt7xsiyf9cr3qmrmzqhb6,19419.0,-1123.9,-16.09,0.0,0.0,0.0,0.0,5.0,32000.0,41,786.0,0,-27.41219512195122,0.12195121951219512,0.0,0.0,780.4878048780488,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
