"wallet_address","token_address","gross_profit","realized_profit","realized_profit_percent","unrealized_profit","unrealized_profit_percent","win_rate","wins","losses","trade_volume","trades","avg_trade_size","is_bot"
"4zi4g9dWNfkG1ujEZ5uMtgX6TbiJjSo74wjXErLP3Cbi",bcviecp8byqg41qhyycqizjh9pvm8nsiqwppin9y6n4u,38746.00,-655.59,-9.84,0.00,0.00,54.55,6,5,52000.00,89,585.00,0
"52CCZBWByycSFoWti9eDA4DmXVJ5r7JSRocxwaZQEyAX",gwpljamb5zxrgbtsynww7v3p1pamryzsfapftdaeswgc,28805.00,-257.56,-93.80,0.00,0.00,0.00,0,1,29000.00,36,815.00,0
"52Zh7nqLxsmKLtCa4W4Dzdtk19BazPbHeRqKwXUyUj5g","9zglmavcxc7u6zhg8hmsau6aujrq8pnm8kl4edjdyju9",24345.00,4571.60,6.36,-161.30,-0.22,27.78,5,13,167000.00,194,860.00,0
"54Fb8pSEGzby8ixipMMCPrsuPdm8VjGZgmF4nXubfSuw",hqsunyltoccw42ghpj8miszn2ztggadfp44k8quylofh,30285.00,8092.40,8.23,-134.48,-0.14,26.04,25,71,227000.00,1000,221.00,0
"54xrJ798DGwH1UA2H35QtAzKT55t8pL8bjBs9Arz3eoP","8s1xuyxblz4amd58hburi87czn8ihcofsqxkxzhscvqs",36642.00,-2134.40,-3.11,-878.15,-1.28,43.59,34,44,171000.00,707,242.00,0
"55t97rzPqCLNY1KX4Ypd3BFDCvbKF15i6xzrjLJgWh95","9d9mb8kooffad3sctgztkxqypkshx6ezhbkio89ixyy2",1622928.00,-11440.00,-0.95,-19544.00,-1.62,11.11,1,8,3600000.00,59,61000.00,0
"58RroUpHU7GWRYv94DemY9HUEXUYS4ymgJsWpeA1HPL3","4coxh8r1qbbazxrftax8hdanue9uqpjc1tpczwaytpdi",4504.00,2004.30,6.45,1366.80,4.40,47.37,9,10,62000.00,91,680.00,0
"58sAsLPyDvM4MtZz52KVM5mWmCoGrddanx4DWZTq1m9W","2uf4xh61rdwxng9woyxsvqp7zua6klfpb3nvnrqeoisd",527002.00,0.00,0.00,0.00,0.00,0.00,0,0,527000.00,83,6300.00,0
"59gYCXQDPET2vqM2gbmnGaBheLPjid2jLRETNARf6PAM","4coxh8r1qbbazxrftax8hdanue9uqpjc1tpczwaytpdi",26426.00,11157.00,19.93,-4167.80,-7.44,45.16,14,17,131000.00,247,530.00,0
"59QxjfyGKdSWKFLS5fQAYPBaEA9EWQBApSLZu1j6WgHY",gc1utsxrrlauwby3uwsemjuxhjmjhhv1sxj9a1jhvyxp,18440.00,18440.00,199.37,111.78,1.21,100.00,2,0,37000.00,39,946.00,0
"5a1KMTkbLq6EZHJm7n8UenvxMw8CsdRkmnV4SYruiHXv","4coxh8r1qbbazxrftax8hdanue9uqpjc1tpczwaytpdi",1696.20,0.00,0.00,-0.93,-9.89,0.00,0,1,1700.00,9,190.00,0
